Iteration,C,Gamma,Epsilon,Avg_Score,Scores,Avg_Support_Vectors,Support_Vectors
1,50,10,0.1,0.031304808318179674,"[0.025861144301887053, 0.027953515374851787, 0.015431352275926631, 0.03857309946025223, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
2,50,5,0.1,0.030970972445192597,"[0.025846339179145448, 0.0275927346669919, 0.015571304796479113, 0.03765711728644046, 0.048187366296906065]",48.0,"[48, 47, 49, 48, 48]"
3,50,4,0.1,0.0307104532876628,"[0.025764360088343333, 0.027232445401362215, 0.015680556025203754, 0.037068352479821945, 0.04780655244358275]",47.4,"[47, 45, 50, 48, 47]"
4,50,3,0.1,0.03035164657566549,"[0.02567248851976348, 0.026470341878288183, 0.015990914593392767, 0.036226273102297535, 0.04739821478458549]",48.2,"[50, 45, 51, 47, 48]"
5,50,2,0.1,0.030055153410217833,"[0.025819117948026507, 0.024938873492187263, 0.016683479070672833, 0.03540772573234331, 0.04742657080785925]",49.0,"[50, 46, 52, 48, 49]"
6,50,1,0.1,0.030382888113263822,"[0.026713111098131324, 0.023205514736888425, 0.01786420718373673, 0.035669390793480485, 0.048462216754082146]",49.4,"[51, 48, 50, 50, 48]"
7,40,10,0.1,0.031304808318179674,"[0.025861144301887053, 0.027953515374851787, 0.015431352275926631, 0.03857309946025223, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
8,40,5,0.1,0.03097097244519259,"[0.025846339179145396, 0.0275927346669919, 0.015571304796479113, 0.03765711728644046, 0.048187366296906065]",48.0,"[48, 47, 49, 48, 48]"
9,40,4,0.1,0.0307104532876628,"[0.025764360088343322, 0.027232445401362212, 0.015680556025203754, 0.037068352479821945, 0.04780655244358277]",47.4,"[47, 45, 50, 48, 47]"
10,40,3,0.1,0.03035164657566549,"[0.025672488519763483, 0.026470341878288197, 0.015990914593392767, 0.03622627310229755, 0.04739821478458545]",48.2,"[50, 45, 51, 47, 48]"
11,40,2,0.1,0.030055153410217795,"[0.025819117948026507, 0.024938873492187184, 0.016683479070672833, 0.03540772573234331, 0.047426570807859135]",49.0,"[50, 46, 52, 48, 49]"
12,40,1,0.1,0.030382888113263763,"[0.026713111098131074, 0.023205514736888522, 0.01786420718373673, 0.035669390793480485, 0.04846221675408201]",49.4,"[51, 48, 50, 50, 48]"
13,30,10,0.1,0.031304808318179674,"[0.02586114430188705, 0.027953515374851797, 0.015431352275926631, 0.03857309946025224, 0.04870493017798066]",49.2,"[51, 48, 50, 48, 49]"
14,30,5,0.1,0.0309709724451926,"[0.025846339179145496, 0.02759273466699188, 0.015571304796479113, 0.037657117286440465, 0.04818736629690608]",48.0,"[48, 47, 49, 48, 48]"
15,30,4,0.1,0.030710453287662802,"[0.025764360088343315, 0.027232445401362246, 0.015680556025203754, 0.03706835247982195, 0.047806552443582756]",47.4,"[47, 45, 50, 48, 47]"
16,30,3,0.1,0.030351646575665497,"[0.0256724885197635, 0.026470341878288183, 0.015990914593392767, 0.03622627310229756, 0.04739821478458547]",48.2,"[50, 45, 51, 47, 48]"
